City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,albany,40,US,1531529640,41,42.65,-73.75,80.6,2.64
1,volchansk,12,RU,1531530853,92,59.94,60.08,58.92,4.76
2,hilo,90,US,1531528740,74,19.71,-155.08,82.4,10.29
3,hobart,40,AU,1531530000,81,-42.88,147.33,46.4,10.29
4,kapaa,75,US,1531526160,74,22.08,-159.32,84.2,16.11
5,kavieng,68,PG,1531530854,100,-2.57,150.8,78.63,0.63
6,punta arenas,0,CL,1531526400,99,-53.16,-70.91,32.0,13.87
7,constitucion,75,MX,1531525680,20,23.99,-104.67,82.4,12.75
8,peniche,40,PT,1531528200,88,39.36,-9.38,64.4,4.7
9,ust-omchug,80,RU,1531530854,59,61.13,149.63,65.22,4.21
10,nikolskoye,0,RU,1531528200,77,59.7,30.79,60.8,2.53
11,rikitea,80,PF,1531530855,100,-23.12,-134.97,71.88,16.28
12,oranjemund,0,ZA,1531530855,99,-28.55,16.43,58.11,16.4
13,ushuaia,20,AR,1531530855,100,-54.81,-68.31,33.45,15.73
14,dikson,80,RU,1531530856,98,73.51,80.55,40.38,13.04
15,cape town,20,ZA,1531526400,93,-33.93,18.42,46.4,5.82
16,santiago,68,CL,1531530000,62,-33.44,-70.65,57.2,5.82
17,aklavik,40,CA,1531526400,37,68.22,-135.01,68.0,5.82
18,leh,64,IN,1531530857,96,34.16,77.58,34.17,1.63
19,ponta do sol,0,BR,1531530857,68,-20.63,-46.0,56.94,4.21
20,bluff,0,AU,1531530857,47,-23.58,149.07,54.15,5.55
21,ritchie,92,ZA,1531526400,94,-29.03,24.6,41.0,6.93
22,puerto ayora,0,EC,1531526400,65,-0.74,-90.35,77.0,14.99
23,barrow,36,AR,1531530858,84,-38.31,-60.23,53.88,4.99
24,airai,0,TL,1531530858,65,-8.93,125.41,67.65,2.19
25,mar del plata,92,AR,1531530749,100,-46.43,-67.52,36.51,4.76
26,east london,88,ZA,1531530859,100,-33.02,27.91,60.36,17.52
27,la ronge,75,CA,1531526400,50,55.1,-105.3,75.2,5.82
28,tagusao,64,PH,1531530859,94,9.19,117.81,81.06,11.36
29,chapais,90,CA,1531526400,88,49.78,-74.86,64.4,11.41
30,alofi,75,NU,1531530000,73,-19.06,-169.92,77.0,14.99
31,bilma,44,NE,1531530860,23,18.69,12.92,77.19,0.29
32,severo-kurilsk,12,RU,1531530860,86,50.68,156.12,55.14,2.08
33,sandwick,0,GB,1531525800,100,54.57,-2.89,55.4,6.93
34,uribia,0,CO,1531530860,58,11.71,-72.27,85.74,24.23
35,busselton,68,AU,1531530860,100,-33.64,115.35,60.36,21.21
36,tuktoyaktuk,75,CA,1531526400,55,69.44,-133.03,60.8,4.7
37,roebourne,0,AU,1531530861,63,-20.77,117.15,50.28,2.75
38,palu,20,ID,1531530861,78,-0.9,119.87,69.45,1.97
39,mataura,8,NZ,1531530861,79,-46.19,168.86,45.78,4.32
40,avarua,75,CK,1531530000,73,-21.21,-159.78,75.2,9.17
41,ilulissat,75,GL,1531525800,75,69.22,-51.1,44.6,2.24
42,ribeira grande,80,PT,1531530862,100,38.52,-28.7,71.34,15.95
43,longyearbyen,75,NO,1531529400,86,78.22,15.63,39.2,6.93
44,norman wells,75,CA,1531526400,40,65.28,-126.83,68.0,6.93
45,hirara,40,JP,1531526400,83,24.8,125.28,82.4,8.05
46,port elizabeth,1,US,1531529700,73,39.31,-74.98,77.0,8.12
47,faanui,92,PF,1531530863,100,-16.48,-151.75,76.83,10.02
48,carnarvon,0,ZA,1531530863,78,-30.97,22.13,25.53,6.78
49,falun,44,SE,1531529400,87,60.61,15.63,59.0,2.24
50,saldanha,0,PT,1531530864,91,41.42,-6.55,59.46,2.75
51,goderich,56,CA,1531530864,78,43.74,-81.71,74.4,11.14
52,mehamn,0,NO,1531530864,91,71.03,27.85,48.66,3.2
53,mahebourg,64,MU,1531530864,95,-20.41,57.7,68.01,11.25
54,sorland,0,NO,1531530864,100,67.67,12.69,51.36,5.55
55,kaduqli,12,SD,1531530865,89,11.01,29.72,71.7,3.76
56,khatanga,8,RU,1531530865,68,71.98,102.47,49.74,10.69
57,qaanaaq,64,GL,1531530865,98,77.48,-69.36,34.53,5.99
58,iqaluit,75,CA,1531526400,76,63.75,-68.52,51.8,3.36
59,the valley,20,AI,1531526400,69,18.22,-63.06,82.4,13.87
60,bedesa,68,ET,1531530866,81,8.9,40.78,60.09,3.2
61,kunya,20,NG,1531526400,88,12.22,8.53,78.8,8.05
62,hithadhoo,92,MV,1531530866,100,-0.6,73.08,83.58,11.03
63,port alfred,0,ZA,1531530866,100,-33.59,26.89,55.41,12.37
64,santa cruz cabralia,75,BR,1531530000,88,-16.28,-39.02,71.6,3.36
65,cherskiy,8,RU,1531530867,66,68.75,161.3,49.29,5.77
66,rockingham,0,GB,1531529400,82,52.52,-0.72,62.6,5.82
67,lorengau,76,PG,1531530867,100,-2.02,147.27,80.43,5.88
68,praya,75,ID,1531530000,73,-8.71,116.27,77.0,16.11
69,wichita falls,1,US,1531529700,41,33.91,-98.49,93.2,16.11
70,coahuayana,12,MX,1531530868,66,18.62,-100.35,78.45,0.4
71,vardo,1,US,1531529700,57,39.62,-77.74,84.2,3.65
72,marsh harbour,36,BS,1531530868,100,26.54,-77.06,82.23,1.63
73,jardim,36,BR,1531530868,68,-21.48,-56.15,67.38,5.21
74,cascais,40,PT,1531528200,88,38.7,-9.42,66.2,4.7
75,lourinha,40,PT,1531530000,88,39.23,-9.32,66.2,4.7
76,bredasdorp,92,ZA,1531526400,87,-34.53,20.04,50.0,6.93
77,sora,76,CO,1531530870,88,5.57,-73.45,54.15,1.52
78,upernavik,92,GL,1531530871,90,72.79,-56.15,38.49,38.43
79,katsuura,75,JP,1531526400,66,33.93,134.5,84.2,4.7
80,hohhot,0,CN,1531526400,77,40.81,111.65,68.0,4.47
81,gobabis,100,NA,1531530872,37,-22.45,18.97,60.72,7.0
82,poum,0,MK,1531528200,87,41.28,20.71,57.2,2.24
83,guerrero negro,0,MX,1531530872,51,27.97,-114.04,78.9,12.48
84,arvika,12,SE,1531529400,93,59.65,12.59,59.0,3.2
85,flinders,0,AU,1531526400,50,-34.58,150.85,51.8,9.17
86,santa rosa,48,AR,1531530875,57,-36.62,-64.29,54.96,7.9
87,mogadishu,92,SO,1531530875,100,2.04,45.34,75.93,21.32
88,kodiak,20,US,1531525980,66,39.95,-94.76,84.2,10.29
89,jamestown,0,AU,1531530875,55,-33.21,138.6,42.81,9.57
90,panama city,1,US,1531526160,66,30.16,-85.65,86.0,8.05
91,georgetown,20,GY,1531526400,94,6.8,-58.16,77.0,2.24
92,changji,0,CN,1531530876,81,32.07,116.17,86.82,6.22
93,griffith,36,AU,1531530876,100,-34.29,146.06,42.99,4.43
94,nazilli,0,TR,1531530877,61,37.91,28.32,64.05,2.42
95,arraial do cabo,36,BR,1531530877,90,-22.97,-42.02,71.43,8.79
96,rocha,88,UY,1531530877,89,-34.48,-54.34,49.2,5.99
97,yellowknife,75,CA,1531526400,87,62.45,-114.38,59.0,11.41
98,gusau,92,NG,1531530878,86,12.17,6.66,73.59,10.13
99,kajaani,20,FI,1531529400,93,64.22,27.73,53.6,1.12
100,ostersund,0,SE,1531529400,82,63.18,14.64,57.2,8.05
101,ust-kulom,88,RU,1531530878,80,61.69,53.69,66.21,2.75
102,deep river,90,CA,1531526400,69,46.1,-77.49,75.2,2.24
103,lata,76,IN,1531530879,100,30.78,78.62,58.47,1.74
104,bati,92,ET,1531530879,85,11.19,40.02,67.2,4.88
105,west bay,0,GB,1531529400,87,50.71,-2.76,59.0,2.24
106,esperance,40,TT,1531526400,94,10.24,-61.45,77.0,6.93
107,barcelos,75,PT,1531530000,93,41.53,-8.62,64.4,3.36
108,provideniya,44,RU,1531530880,100,64.42,-173.23,42.9,10.92
109,bethel,90,US,1531529580,76,60.79,-161.76,55.4,16.11
110,qasigiannguit,75,GL,1531525800,75,68.82,-51.19,44.6,2.24
